fullName,description,language,stargazersCount,createdAt,pushedAt,visibility,url,description_zh
BryanRalston/marshall-syndrome-resource,Comprehensive research-backed resource guide for families navigating Marshall Syndrome (COL11A1 mutation),HTML,0,2026-03-04 09:18:17,2026-08-28 08:27:28,public,https://github.com/BryanRalston/marshall-syndrome-resource,针对马歇尔综合症（COL11A1 突变）家庭的综合研究支持资源指南
api-evangelist/topos-bio,"Topos Bio is an AI-native drug discovery company building all-atom foundation models for intrinsically disordered proteins (IDPs) — dynamic, flexible proteins implicated in diseases such as Alzheimer's and prostate cancer.",,0,2026-08-02 13:34:45,2026-08-28 05:21:28,public,https://github.com/api-evangelist/topos-bio,Topos Bio 是一家人工智能原生药物发现公司，为本质无序蛋白质 (IDP) 构建全原子基础模型，这些蛋白质是与阿尔茨海默病和前列腺癌等疾病有关的动态、灵活的蛋白质。
api-evangelist/peptone,"Peptone is a computational drug-discovery biotech building a Product Engine that targets intrinsically disordered proteins (IDPs). It couples experimental measurement of disordered proteins in solution with enhanced-sampling simulation and generative machine-learning models to resolve transient, druggable pockets and design small-molecule drug…",,0,2026-08-01 10:27:11,2026-08-28 04:54:31,public,https://github.com/api-evangelist/peptone,Peptone 是一种计算药物发现生物技术，构建了一个针对本质无序蛋白质 (IDP) 的产品引擎。它将溶液中无序蛋白质的实验测量与增强采样模拟和生成机器学习模型结合起来，以解决瞬态、可成药的口袋并设计小分子药物……
erdoslab-elte/Internship_Luca_Levay,,Python,0,2026-05-22 21:49:16,2026-08-28 04:36:13,public,https://github.com/erdoslab-elte/Internship_Luca_Levay,
CultureBotAI/proteintraitsmech,ProteinTraits,Python,1,2026-07-01 21:06:36,2026-08-28 04:10:19,public,https://github.com/CultureBotAI/proteintraitsmech,蛋白质性状
adammatthewsteinberger/vibey-skills,Agent Skills for vibe engineering — 644 evidence-grounded practitioner references as a Claude Code plugin marketplace,Python,1,2026-08-11 08:14:07,2026-08-28 03:18:42,public,https://github.com/adammatthewsteinberger/vibey-skills,氛围工程的代理技能 — 作为 Claude Code 插件市场的 644 个基于证据的从业者参考
cirosantilli/cirosantilli.github.io-md,Automatically generated markdown rendering of https://github.com/cirosantilli/cirosantilli.github.io for fun and SEO. Canonical render at: https://cirosantilli.com,JavaScript,0,2026-08-27 15:25:58,2026-08-28 01:35:50,public,https://github.com/cirosantilli/cirosantilli.github.io-md,自动生成 https://github.com/cirosantilli/cirosantilli.github.io 的 Markdown 渲染，以实现乐趣和 SEO。规范渲染：https://cirosantilli.com
iopwsy/arXiv_cond-mat,利用GitHub Action 与LLM自动更新arXiv凝聚态物理相关论文,Python,3,2025-05-01 21:38:05,2026-08-28 00:26:55,public,https://github.com/iopwsy/arXiv_cond-mat,Use GitHub Action and LLM to automatically update arXiv condensed matter physics related papers
james-r-barrett/SEC_fit,An interactive Python tool for Size Exclusion Chromatography (SEC) analysis. Robustly corrects AKTA baseline offsets and performs interactive Gaussian peak deconvolution.,Python,0,2026-02-08 02:19:36,2026-08-27 23:55:37,public,https://github.com/james-r-barrett/SEC_fit,用于尺寸排阻色谱 (SEC) 分析的交互式 Python 工具。稳健地校正 AKTA 基线偏移并执行交互式高斯峰值反卷积。
arxivsub/arXivSub_daily_arxiv,Daily arXiv AI summarization powered by arXivSub,,4,2026-01-11 08:20:10,2026-08-27 23:51:28,public,https://github.com/arxivsub/arXivSub_daily_arxiv,由 arXivSub 提供支持的每日 arXiv AI 摘要
enhansome/enhansome-structural-bioinformatics,,,0,2026-08-12 18:01:52,2026-08-27 23:07:30,public,https://github.com/enhansome/enhansome-structural-bioinformatics,
guozhihuan01-hash/embodied-nav-papers,Auto-updated list of embodied navigation papers from arXiv (2024–Now),Python,2,2025-12-21 17:34:45,2026-08-27 23:02:23,public,https://github.com/guozhihuan01-hash/embodied-nav-papers,自动更新的 arXiv 体现导航论文列表（2024 年至今）
idptools/afrc,Implementation of our reference polymer model for an unfolded protein as an ideal chain,Python,2,2021-01-05 08:38:24,2026-08-27 21:36:43,public,https://github.com/idptools/afrc,将未折叠蛋白质作为理想链的参考聚合物模型的实施
CYandYue/Auto-Get-Papers-pro,,Python,1,2025-03-29 22:51:35,2026-08-27 20:56:34,public,https://github.com/CYandYue/Auto-Get-Papers-pro,
HyeonjeYang/FLK-IDR-repeat,Exploring the evolutionary conservation and sequence grammar of the triplicated LEPQQYEV repeat in the N-terminal IDR of Arabidopsis FLK.,Python,0,2026-08-26 20:49:19,2026-08-27 20:18:43,public,https://github.com/HyeonjeYang/FLK-IDR-repeat,探索拟南芥 FLK N 末端 IDR 中三重 LEPQQYEV 重复序列的进化保守性和序列语法。
briannaspishock/tardigrade-stress-seq,,HTML,0,2026-08-18 00:01:19,2026-08-27 20:16:21,public,https://github.com/briannaspishock/tardigrade-stress-seq,
MaybeBio/GhResearcher,A powerful GitHub Code & Repo Analysis CLI tool for Scientific Researchers,Python,2,2026-05-12 18:30:13,2026-08-27 19:39:07,public,https://github.com/MaybeBio/GhResearcher,面向科学研究人员的强大 GitHub 代码和存储库分析 CLI 工具
enhansome/enhansome-ai-for-science,,,0,2026-08-12 14:18:48,2026-08-27 19:20:46,public,https://github.com/enhansome/enhansome-ai-for-science,
MaybeBio/Awesome-Protein-ContactMap-Prediction,,HTML,1,2026-08-15 00:29:37,2026-08-27 19:04:31,public,https://github.com/MaybeBio/Awesome-Protein-ContactMap-Prediction,
exopoiesis/arxiv-radar-electrochemistry,"Daily-curated electrochemistry-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views. ",Python,1,2026-05-07 01:46:31,2026-08-27 19:01:49,public,https://github.com/exopoiesis/arxiv-radar-electrochemistry,来自 arXiv 的每日精选电化学相关论文，包含摘要、规范标签和生成的页面视图。
pstAmbition/DailyArXiv_Multimodal,Daily ArXiv Papers.,Python,19,2025-05-15 12:54:26,2026-08-27 19:00:35,public,https://github.com/pstAmbition/DailyArXiv_Multimodal,每日 ArXiv 论文。
tobias-weiss-ai-xr/software-development-research,,TeX,0,2026-08-20 05:10:22,2026-08-27 18:28:38,public,https://github.com/tobias-weiss-ai-xr/software-development-research,
tobias-weiss-ai-xr/quantum-computing-research,,Python,0,2026-08-20 13:29:21,2026-08-27 18:28:29,public,https://github.com/tobias-weiss-ai-xr/quantum-computing-research,
AspirinCode/awesome-AI4MolConformation-MD,"List of molecules (small molecules, RNA, peptide, protein, enzymes, antibody,  and PPIs)  conformations and molecular dynamics (force fields) using generative artificial intelligence and deep learning",,307,2024-04-10 13:19:13,2026-08-27 17:16:33,public,https://github.com/AspirinCode/awesome-AI4MolConformation-MD,使用生成人工智能和深度学习的分子（小分子、RNA、肽、蛋白质、酶、抗体和 PPI）构象和分子动力学（力场）列表
james-r-barrett/FLIPPer,"Pluggable pipeline for identifying candidate intrinsically disordered linker regions in pyrenoid proteins from FASTA sequences (XSTREAM or DetectRepeats + pI, composition, and disorder filtering).",Python,0,2024-03-01 06:37:24,2026-08-27 17:11:40,public,https://github.com/james-r-barrett/FLIPPer,可插入管道，用于从 FASTA 序列（XSTREAM 或 DetectRepeats + pI、组成和无序过滤）中识别类核蛋白中候选的本质无序连接子区域。
InsomaniacElf/sg-tamil-tts-resources-,"A curated, searchable list of datasets, models, research papers, and tools for building Text‑to‑Speech systems for Singapore Tamil and related low‑resource varieties.",,1,2026-05-26 11:12:53,2026-08-27 16:55:32,public,https://github.com/InsomaniacElf/sg-tamil-tts-resources-,用于为新加坡泰米尔语和相关低资源品种构建文本转语音系统的数据集、模型、研究论文和工具的精选、可搜索列表。
Jianqiuer/Awesome6DPoseEstimation,,Python,319,2023-02-21 16:18:39,2026-08-27 16:07:09,public,https://github.com/Jianqiuer/Awesome6DPoseEstimation,
iszhanjiawei/dubbing-dubber-arxiv-daily,,Python,0,2026-02-04 18:29:41,2026-08-27 16:02:15,public,https://github.com/iszhanjiawei/dubbing-dubber-arxiv-daily,
