fullName,language,stargazersCount,createdAt,pushedAt,url,description,description_zh,mark
api-evangelist/peptone,,0,2026-08-01 10:27:11,2026-08-31 04:58:43,https://github.com/api-evangelist/peptone,"Peptone — independent third-party profile of a public API surface, by API Evangelist. Peptone is a computational drug-discovery biotech building a Product Engine that targets intrinsically disordered proteins (IDPs). It couples experimental measurement of disordered proteins in solution with enhanced-sampling simulation and generative machine-learn",Peptone — 公共 API 界面的独立第三方配置文件，由 API Evangelist 提供。 Peptone 是一种计算药物发现生物技术，构建了一个针对本质无序蛋白质 (IDP) 的产品引擎。它将溶液中无序蛋白质的实验测量与增强采样模拟和生成机器学习结合起来,no
ericrenone/HARMONIC-Hierarchical-Adaptive-Reorganization-through-Molecular-scale-Optimization-of-Nucleotide-In,,1,2026-08-31 01:15:08,2026-08-31 03:49:20,https://github.com/ericrenone/HARMONIC-Hierarchical-Adaptive-Reorganization-through-Molecular-scale-Optimization-of-Nucleotide-In,A Unified Framework Spanning Molecular Quantum Coherence to Consciousness Through Information-Geometric Reorganization,通过信息几何重组跨越分子量子相干到意识的统一框架,no
tobias-weiss-ai-xr/software-development-research,TeX,0,2026-08-20 05:10:22,2026-08-31 03:32:23,https://github.com/tobias-weiss-ai-xr/software-development-research,,,no
zezhishao/DailyArXiv,Python,448,2024-03-15 22:45:16,2026-08-31 03:23:54,https://github.com/zezhishao/DailyArXiv,Daily ArXiv Papers.,每日 ArXiv 论文。,no
zeaoji/MyDailyArXiv,Python,2,2026-03-23 09:55:39,2026-08-31 03:22:12,https://github.com/zeaoji/MyDailyArXiv,,,no
tobias-weiss-ai-xr/quantum-computing-research,Python,0,2026-08-20 13:29:21,2026-08-31 02:15:46,https://github.com/tobias-weiss-ai-xr/quantum-computing-research,,,no
MaybeBio/pyPaperFlow,Python,8,2026-01-12 23:52:18,2026-08-31 01:12:13,https://github.com/MaybeBio/pyPaperFlow,"An automated literature processing platform for scientific researchers, focusing on Biomedical and Computer fields",面向科研人员的自动化文献处理平台，专注于生物医学和计算机领域,no
yqhuang722/DailyArxiv,Python,8,2025-01-23 11:16:18,2026-08-31 00:14:28,https://github.com/yqhuang722/DailyArxiv,"A bot that automatically fetches the latest articles from Arxiv, helping users stay updated with new research papers based on customizable keywords or categories. Ideal for researchers and academics tracking cutting-edge developments.",一个自动从 Arxiv 获取最新文章的机器人，帮助用户根据可自定义的关键字或类别随时了解新的研究论文。非常适合跟踪前沿发展的研究人员和学者。,no
AspirinCode/awesome-AI4MolConformation-MD,,307,2024-04-10 13:19:13,2026-08-30 20:57:15,https://github.com/AspirinCode/awesome-AI4MolConformation-MD,"List of molecules (small molecules, RNA, peptide, protein, enzymes, antibody,  and PPIs)  conformations and molecular dynamics (force fields) using generative artificial intelligence and deep learning",使用生成人工智能和深度学习的分子（小分子、RNA、肽、蛋白质、酶、抗体和 PPI）构象和分子动力学（力场）列表,yes
cheungngo/094HvB-PTSD-Epi-2-AF-TWAS,Python,0,2026-08-30 18:44:44,2026-08-30 18:48:39,https://github.com/cheungngo/094HvB-PTSD-Epi-2-AF-TWAS,"Genetically Predicted Expression of a PI3K–AKT/Neurocardiac Module in Atrial Fibrillation, With Gene-Level Convergence at BDNF: Implications for Stress-Gated Arrhythmia Risk",心房颤动中 PI3K-AKT/神经心脏模块的基因预测表达，以及 BDNF 的基因水平收敛：对压力门控性心律失常风险的影响,no
ericrenone/CIPHER-Against-the-Contemporary-Molecular-Recognition-Frontier-A-Rigorous-Technical-Exposition,,1,2026-08-30 18:22:01,2026-08-30 18:22:11,https://github.com/ericrenone/CIPHER-Against-the-Contemporary-Molecular-Recognition-Frontier-A-Rigorous-Technical-Exposition,CIPHER Against the Contemporary Molecular Recognition Frontier: A Rigorous Technical Exposition,CIPHER 对抗当代分子识别前沿：严谨的技术阐述,no
ericrenone/CIPHER-Critical-Information-Partition-Hierarchy-in-Emergent-Receptors,,1,2026-08-30 18:04:31,2026-08-30 18:11:18,https://github.com/ericrenone/CIPHER-Critical-Information-Partition-Hierarchy-in-Emergent-Receptors,"A Next-Generation Ligand Discovery Platform Integrating Topological Information Theory, Spectral Geometry, and Machine Learning",集成拓扑信息论、谱几何和机器学习的下一代配体发现平台,no
enhansome/enhansome-structural-bioinformatics,,0,2026-08-12 18:01:52,2026-08-30 17:53:36,https://github.com/enhansome/enhansome-structural-bioinformatics,,,no
guozhihuan01-hash/embodied-nav-papers,Python,2,2025-12-21 17:34:45,2026-08-30 17:48:37,https://github.com/guozhihuan01-hash/embodied-nav-papers,Auto-updated list of embodied navigation papers from arXiv (2024–Now),自动更新的 arXiv 体现导航论文列表（2024 年至今）,no
adammatthewsteinberger/vibey-skills,Python,1,2026-08-11 08:14:07,2026-08-30 17:30:45,https://github.com/adammatthewsteinberger/vibey-skills,Agent Skills for vibe engineering — 644 evidence-grounded practitioner references as a Claude Code plugin marketplace,氛围工程的代理技能 — 作为 Claude Code 插件市场的 644 个基于证据的从业者参考,no
Cosmos-Logic-Institute-CLI/Infinite-Virtual,,2,2026-01-27 05:50:34,2026-08-30 15:33:34,https://github.com/Cosmos-Logic-Institute-CLI/Infinite-Virtual,Boundaries between virtual and reality are non-existent,虚拟与现实之间不存在界限,no
AspirinCode/papers-for-molecular-design-using-DL,,951,2023-02-28 15:08:10,2026-08-30 15:02:10,https://github.com/AspirinCode/papers-for-molecular-design-using-DL,List of Molecular and Material design using Generative AI and Deep Learning ,使用生成式人工智能和深度学习的分子和材料设计列表,yes
exopoiesis/arxiv-radar-electrochemistry,Python,1,2026-05-07 01:46:31,2026-08-30 14:19:46,https://github.com/exopoiesis/arxiv-radar-electrochemistry,"Daily-curated electrochemistry-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views. ",来自 arXiv 的每日精选电化学相关论文，包含摘要、规范标签和生成的页面视图。,no
rabbitego/protein-disorder-esm,Python,0,2026-08-30 13:32:33,2026-08-30 13:33:47,https://github.com/rabbitego/protein-disorder-esm,,,yes
enhansome/enhansome-ai-for-science,,0,2026-08-12 14:18:48,2026-08-30 13:11:18,https://github.com/enhansome/enhansome-ai-for-science,,,no
